Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams
Single-Model,All Features,SVM,0.77,0.65,0.89,0.54,0.87,0.86,0.46,SVC,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.77,0.63,0.92,0.57,0.91,0.88,0.56,MLPClassifier,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Decision Tree,0.76,0.71,0.81,0.48,0.83,0.8,0.37,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.76,0.71,0.81,0.48,0.81,0.8,0.36,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'random_state': 42}"
Single-Model,All Features,SVM,0.76,0.63,0.88,0.52,0.85,0.85,0.45,SVC,"{'C': 200, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.75,0.59,0.91,0.53,0.85,0.87,0.48,SVC,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.75,0.58,0.92,0.54,0.9,0.88,0.54,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.74,0.61,0.88,0.52,0.91,0.84,0.56,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.74,0.54,0.95,0.58,0.91,0.9,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 46, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.74,0.53,0.95,0.58,0.87,0.9,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 46, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.74,0.53,0.95,0.55,0.88,0.89,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.74,0.52,0.95,0.55,0.91,0.9,0.66,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.74,0.51,0.96,0.58,0.91,0.9,0.66,MLPClassifier,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Decision Tree,0.73,0.62,0.85,0.47,0.75,0.82,0.38,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.73,0.52,0.95,0.53,0.9,0.89,0.63,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.52,0.94,0.53,0.85,0.88,0.54,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.52,0.94,0.55,0.89,0.89,0.6,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.51,0.95,0.54,0.89,0.89,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 46, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.5,0.96,0.57,0.91,0.9,0.68,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.3, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.5,0.96,0.55,0.9,0.9,0.62,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.49,0.96,0.56,0.91,0.9,0.67,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.73,0.49,0.96,0.56,0.91,0.9,0.66,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.63,0.81,0.47,0.9,0.79,0.49,MLPClassifier,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Decision Tree,0.72,0.58,0.87,0.46,0.74,0.83,0.39,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.72,0.54,0.89,0.48,0.72,0.85,0.43,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.72,0.52,0.92,0.49,0.89,0.87,0.54,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.49,0.94,0.51,0.86,0.88,0.55,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.48,0.96,0.55,0.88,0.9,0.65,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.48,0.96,0.56,0.9,0.9,0.66,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.48,0.96,0.55,0.88,0.9,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.48,0.95,0.53,0.88,0.89,0.6,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.48,0.95,0.52,0.86,0.89,0.59,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.48,0.95,0.52,0.88,0.89,0.63,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.72,0.47,0.96,0.54,0.9,0.9,0.64,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.3, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,k-NN,0.71,0.83,0.58,0.36,0.7,0.61,0.23,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.83,0.58,0.36,0.7,0.61,0.23,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.83,0.58,0.36,0.7,0.61,0.23,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.61,0.37,0.71,0.64,0.24,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.61,0.37,0.71,0.64,0.24,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.61,0.37,0.71,0.64,0.24,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.6,0.36,0.71,0.63,0.23,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.71,0.81,0.6,0.36,0.71,0.63,0.23,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
