Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams
Single-Model,All Features,Neural Networks,0.71,0.47,0.95,0.5,0.89,0.89,0.61,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.47,0.94,0.51,0.86,0.88,0.55,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.46,0.97,0.54,0.91,0.9,0.68,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.3, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.71,0.46,0.96,0.54,0.88,0.9,0.66,SVC,"{'C': 200, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.71,0.46,0.96,0.53,0.88,0.9,0.68,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.46,0.95,0.52,0.88,0.89,0.59,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.46,0.95,0.52,0.85,0.89,0.6,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.71,0.45,0.97,0.55,0.89,0.9,0.7,SVC,"{'C': 5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.71,0.45,0.97,0.54,0.91,0.9,0.69,MLPClassifier,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.45,0.96,0.52,0.88,0.9,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.45,0.96,0.53,0.9,0.9,0.66,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.71,0.44,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 100, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.44,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 100, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.44,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 200, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.44,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 200, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.44,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 2000, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.44,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 2000, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.44,0.97,0.54,0.89,0.9,0.69,SVC,"{'C': 100, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.71,0.44,0.97,0.54,0.9,0.9,0.71,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.44,0.97,0.54,0.91,0.9,0.7,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.71,0.44,0.97,0.54,0.89,0.9,0.69,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.71,0.43,0.98,0.55,0.89,0.91,0.74,SVC,"{'C': 3, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.43,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.71,0.43,0.98,0.55,0.91,0.91,0.74,SVC,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,k-NN,0.7,0.83,0.57,0.35,0.7,0.61,0.22,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.7,0.83,0.57,0.35,0.7,0.61,0.22,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.7,0.83,0.57,0.35,0.7,0.61,0.22,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,Decision Tree,0.7,0.52,0.88,0.44,0.7,0.83,0.38,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.49,0.91,0.42,0.9,0.86,0.42,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'}"
Single-Model,All Features,Neural Networks,0.7,0.49,0.91,0.42,0.9,0.86,0.42,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'}"
Single-Model,All Features,SVM,0.7,0.48,0.93,0.49,0.83,0.87,0.51,SVC,"{'C': 200, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.48,0.91,0.47,0.83,0.86,0.45,SVC,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.48,0.91,0.47,0.82,0.86,0.46,SVC,"{'C': 1700, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.47,0.94,0.5,0.84,0.88,0.53,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.7,0.47,0.93,0.48,0.83,0.87,0.49,SVC,"{'C': 1500, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.47,0.93,0.48,0.83,0.87,0.5,SVC,"{'C': 1700, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.47,0.93,0.48,0.83,0.87,0.5,SVC,"{'C': 2000, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.95,0.51,0.88,0.89,0.62,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.95,0.5,0.87,0.88,0.55,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.7,0.46,0.94,0.49,0.84,0.88,0.54,SVC,"{'C': 1000, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.94,0.5,0.86,0.88,0.58,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.94,0.5,0.84,0.88,0.55,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.94,0.48,0.89,0.88,0.64,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.94,0.49,0.86,0.88,0.53,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.7,0.46,0.93,0.48,0.83,0.87,0.49,SVC,"{'C': 1000, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.46,0.93,0.48,0.83,0.87,0.51,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Random Forest,0.7,0.45,0.95,0.52,0.88,0.89,0.6,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 75, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.7,0.45,0.95,0.51,0.87,0.89,0.59,RandomForestClassifier,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.7,0.45,0.95,0.51,0.88,0.89,0.6,RandomForestClassifier,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 75, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.7,0.45,0.95,0.51,0.88,0.89,0.59,RandomForestClassifier,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.45,0.95,0.5,0.86,0.88,0.57,MLPClassifier,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.45,0.95,0.51,0.87,0.89,0.58,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.45,0.94,0.49,0.81,0.88,0.54,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.45,0.94,0.48,0.85,0.88,0.52,MLPClassifier,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.45,0.94,0.49,0.85,0.88,0.55,MLPClassifier,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.44,0.97,0.52,0.9,0.9,0.66,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.3, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.7,0.44,0.97,0.53,0.91,0.9,0.66,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Random Forest,0.7,0.44,0.96,0.52,0.88,0.89,0.62,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 200, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.7,0.44,0.96,0.51,0.87,0.89,0.61,RandomForestClassifier,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.7,0.44,0.95,0.5,0.85,0.88,0.57,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.75,SVC,"{'C': 5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.75,SVC,"{'C': 5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.74,SVC,"{'C': 1000, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.74,SVC,"{'C': 1000, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.74,SVC,"{'C': 1500, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.74,SVC,"{'C': 1500, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.74,SVC,"{'C': 1700, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.43,0.98,0.54,0.91,0.91,0.74,SVC,"{'C': 1700, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.42,0.98,0.54,0.91,0.91,0.76,SVC,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.42,0.98,0.54,0.91,0.91,0.76,SVC,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.42,0.98,0.53,0.91,0.91,0.75,SVC,"{'C': 3, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.42,0.98,0.53,0.91,0.91,0.75,SVC,"{'C': 3, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.7,0.41,0.98,0.54,0.91,0.91,0.79,SVC,"{'C': 5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,k-NN,0.69,0.55,0.83,0.41,0.7,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.69,0.55,0.83,0.41,0.7,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.69,0.55,0.83,0.41,0.7,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,Neural Networks,0.69,0.54,0.85,0.36,0.91,0.81,0.37,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'}"
Single-Model,All Features,Neural Networks,0.69,0.54,0.85,0.36,0.91,0.81,0.37,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'}"
Single-Model,All Features,SVM,0.69,0.48,0.9,0.45,0.82,0.85,0.42,SVC,"{'C': 2000, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.47,0.91,0.46,0.83,0.86,0.45,SVC,"{'C': 1500, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.47,0.91,0.46,0.82,0.86,0.46,SVC,"{'C': 2000, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.47,0.9,0.44,0.82,0.85,0.42,SVC,"{'C': 1700, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.46,0.92,0.45,0.83,0.86,0.45,SVC,"{'C': 100, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.46,0.91,0.45,0.83,0.86,0.45,SVC,"{'C': 200, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.69,0.45,0.94,0.48,0.85,0.88,0.53,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.69,0.44,0.95,0.49,0.87,0.88,0.55,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (23, 46, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.69,0.44,0.94,0.47,0.83,0.87,0.5,SVC,"{'C': 100, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.69,0.44,0.94,0.48,0.84,0.88,0.52,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (23, 46, 46, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Neural Networks,0.69,0.43,0.96,0.5,0.86,0.89,0.6,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (23, 23), 'learning_rate': 'adaptive', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.69,0.43,0.94,0.47,0.83,0.87,0.51,SVC,"{'C': 1500, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.69,0.42,0.96,0.49,0.9,0.89,0.62,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (23, 46), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,Random Forest,0.69,0.42,0.95,0.49,0.88,0.88,0.58,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.69,0.42,0.95,0.49,0.88,0.88,0.58,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.69,0.42,0.95,0.49,0.88,0.89,0.59,RandomForestClassifier,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 200, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.41,0.98,0.53,0.91,0.91,0.76,SVC,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Neural Networks,0.69,0.41,0.97,0.5,0.91,0.9,0.73,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.3, 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.69,0.4,0.99,0.53,0.91,0.91,0.81,SVC,"{'C': 0.5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.4,0.99,0.53,0.91,0.91,0.81,SVC,"{'C': 0.5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.4,0.98,0.52,0.91,0.91,0.77,SVC,"{'C': 0.7, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.4,0.98,0.52,0.91,0.91,0.77,SVC,"{'C': 0.7, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Random Forest,0.69,0.4,0.97,0.49,0.88,0.89,0.64,RandomForestClassifier,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 200, 'random_state': 42}"
Single-Model,All Features,SVM,0.69,0.39,0.98,0.52,0.9,0.91,0.79,SVC,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,k-NN,0.68,0.53,0.84,0.4,0.7,0.8,0.33,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.68,0.53,0.84,0.4,0.7,0.8,0.33,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.68,0.53,0.84,0.4,0.7,0.8,0.33,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,Neural Networks,0.68,0.48,0.89,0.42,0.91,0.84,0.67,MLPClassifier,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (23, 23, 23), 'learning_rate': 'constant', 'learning_rate_init': 0.7, 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'}"
Single-Model,All Features,SVM,0.68,0.47,0.9,0.44,0.82,0.85,0.41,SVC,"{'C': 1500, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.68,0.45,0.92,0.45,0.69,0.86,0.45,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 25, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.68,0.45,0.92,0.45,0.69,0.86,0.45,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 50, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.68,0.44,0.92,0.45,0.68,0.86,0.47,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'random_state': 42}"
Single-Model,All Features,SVM,0.68,0.43,0.94,0.46,0.83,0.87,0.5,SVC,"{'C': 1700, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}"
