Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.82,0.61,0.37,0.71,0.64,0.24
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.82,0.61,0.37,0.71,0.64,0.24
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.82,0.61,0.37,0.71,0.64,0.24
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.82,0.61,0.37,0.71,0.64,0.24
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.82,0.61,0.37,0.71,0.64,0.24
Single_Model,All_Features,k-NN,0.75,0.7,0.8,0.44,0.77,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'uniform'}",,,,0.02,0.71,0.63,0.79,0.41,0.74,0.77,0.31
Single_Model,All_Features,k-NN,0.75,0.7,0.8,0.44,0.77,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'uniform'}",,,,0.02,0.71,0.63,0.79,0.41,0.74,0.77,0.31
Single_Model,All_Features,k-NN,0.75,0.7,0.8,0.44,0.77,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'uniform'}",,,,0.03,0.71,0.63,0.79,0.41,0.74,0.77,0.31
Single_Model,All_Features,k-NN,0.75,0.7,0.8,0.44,0.77,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'uniform'}",,,,0.03,0.71,0.63,0.79,0.41,0.74,0.77,0.31
Single_Model,All_Features,k-NN,0.75,0.7,0.8,0.44,0.77,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'uniform'}",,,,0.03,0.71,0.63,0.79,0.41,0.74,0.77,0.31
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.71,0.83,0.58,0.36,0.7,0.61,0.23
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.71,0.83,0.58,0.36,0.7,0.61,0.23
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.71,0.83,0.58,0.36,0.7,0.61,0.23
